district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,validation_error,has_validation_error,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
ควนขนุน,ควนขนุน(เทศบาล),1,constituency,election_day,256,237,5,14,64,4,37,115,12,3,2,237,0,0.01953125,0.0546875,0.92578125,115.0,0.4852320675105485,0.2151898734177215,1.309891941414925,,False,97.9296875,False,True,UNUSUAL_VOTING_PATTERN,0,7.734476799999999,100.0124479,อาคารอเนกประสงค์ สำนักงานเทศบาลตำบลควนขนุน,True,1,6,0
ควนขนุน,ควนขนุน(เทศบาล),2,constituency,election_day,337,322,6,9,76,9,50,163,22,0,2,322,0,0.0178041543026706,0.0267062314540059,0.9554896142433236,163.0,0.5062111801242236,0.2701863354037267,1.2895129853093166,,False,98.57566765578636,False,False,NORMAL,1,7.733656099999999,100.007411,อาคารหอประชุม โรงเรียนบ้านควนขนุน,False,0,1,0
ควนขนุน,ควนขนุน(เทศบาล),3,constituency,election_day,403,383,4,16,94,4,62,187,34,1,1,383,0,0.009925558312655,0.0397022332506203,0.9503722084367244,187.0,0.4882506527415143,0.2428198433420365,1.2832548637513697,,False,98.70967741935485,False,False,NORMAL,2,7.737481399999999,100.0066003,ศาลาการเปรียญ วัดสุวรรณวิชัย,False,0,1,0
ควนขนุน,ควนขนุน(เทศบาล),4,constituency,election_day,206,199,1,6,23,5,41,112,17,0,1,199,0,0.0048543689320388,0.029126213592233,0.9660194174757282,112.0,0.5628140703517588,0.3567839195979899,1.2276942131796489,,False,99.1747572815534,False,False,NORMAL,3,7.7484794,100.0080005,อาคารพ่อท่านนะ วัดสุวรรณวิชัย,False,0,0,0
ควนขนุน,ควนขนุน,1,constituency,election_day,384,378,4,2,134,8,23,201,11,1,0,378,0,0.0104166666666666,0.0052083333333333,0.984375,201.0,0.5317460317460317,0.1772486772486772,1.074038198228351,,False,99.375,False,False,NORMAL,4,7.7485644,100.007979,ศาลาประจำหมู่บ้านบ้านควนบก,False,0,0,0
ควนขนุน,ควนขนุน,2,constituency,election_day,305,297,5,3,100,1,23,167,6,0,0,297,0,0.0163934426229508,0.0098360655737704,0.9737704918032788,167.0,0.5622895622895623,0.2255892255892256,0.9863620746473258,,False,98.98360655737704,False,False,NORMAL,5,7.7484794,100.0080005,ศาลา อพป.บ้านดอนนูด,False,0,0,0
ควนขนุน,ควนขนุน,3,constituency,election_day,639,605,15,19,150,2,76,336,35,2,4,605,0,0.0234741784037558,0.0297339593114241,0.94679186228482,336.0,0.5553719008264463,0.3074380165289256,1.168806431514007,,False,98.23161189358372,False,False,NORMAL,6,7.747440399999999,99.9966606,ศาลาประจำหมู่บ้านบ้านโคกวัด,False,0,1,0
ควนขนุน,ควนขนุน,4,constituency,election_day,707,675,17,15,226,5,78,310,56,0,0,675,0,0.024045261669024,0.0212164073550212,0.9547383309759548,310.0,0.4592592592592592,0.1244444444444444,1.2159445504588804,,False,98.37340876944836,False,False,NORMAL,7,7.7516832,100.0132899,ศาลาประจำหมู่บ้านบ้านโคกวา,False,0,1,0
ควนขนุน,ควนขนุน,5,constituency,election_day,381,371,5,5,166,6,38,144,16,0,1,371,0,0.0131233595800524,0.0131233595800524,0.973753280839895,166.0,0.4474393530997305,0.059299191374663,1.178780665176336,,False,99.08136482939634,False,False,NORMAL,8,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านเพิง,False,0,0,1
ควนขนุน,ควนขนุน,6,constituency,election_day,623,598,12,13,240,6,51,270,27,1,3,598,0,0.0192616372391653,0.0208667736757624,0.9598715890850722,270.0,0.451505016722408,0.0501672240802675,1.1586670635424892,,False,98.61958266452648,False,False,NORMAL,9,7.7625474,100.0007649,ศาลาประจำหมู่บ้านบ้านควนพลี,False,0,1,1
ควนขนุน,ควนขนุน,7,constituency,election_day,374,360,9,5,35,2,37,252,33,0,1,360,0,0.0240641711229946,0.0133689839572192,0.962566844919786,252.0,0.7,0.5972222222222222,0.9743587012769384,,False,98.52941176470588,False,False,NORMAL,10,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านโพธิ์,False,0,3,1
ควนขนุน,ควนขนุน,8,constituency,election_day,208,203,5,0,63,1,5,128,6,0,0,203,0,0.0240384615384615,0.0,0.9759615384615384,128.0,0.6305418719211823,0.3201970443349753,0.8753975656333323,,False,98.79807692307692,False,False,NORMAL,11,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านข่อยม้า,False,0,3,1
ควนขนุน,ควนขนุน,9,constituency,election_day,80,77,0,3,8,0,9,47,11,2,0,77,0,0.0,0.0375,0.9625,47.0,0.6103896103896104,0.4675324675324675,1.160290705337588,,False,99.25,False,False,NORMAL,12,7.735698699999999,100.0077949,ศาลาประจำหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,False,0,0,0
ควนขนุน,ชะมวง,1,constituency,election_day,573,552,10,11,122,5,46,340,38,1,0,552,0,0.0174520069808027,0.019197207678883,0.9633507853403142,340.0,0.6159420289855072,0.394927536231884,1.0774519496915895,,False,98.7434554973822,False,False,NORMAL,13,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านชะมวง,False,0,3,2
ควนขนุน,ชะมวง,2,constituency,election_day,194,182,5,7,56,2,19,96,9,0,0,182,0,0.0257731958762886,0.0360824742268041,0.9381443298969072,96.0,0.5274725274725275,0.2197802197802197,1.134211207827406,,False,97.98969072164948,False,False,NORMAL,14,7.7408104,99.9839132,ศาลาการเปรียญวัดพิกุลทอง,False,0,1,0
ควนขนุน,ชะมวง,3,constituency,election_day,545,525,14,6,115,0,62,320,25,1,2,525,0,0.0256880733944954,0.0110091743119266,0.963302752293578,320.0,0.6095238095238096,0.3904761904761905,1.064787909693716,,False,98.49541284403672,False,False,NORMAL,15,7.7885424,99.9643809,ศาลาประจำหมู่บ้านบ้านศาลาตำเสา,False,0,3,-1
ควนขนุน,ชะมวง,4,constituency,election_day,185,181,2,2,47,1,5,122,6,0,0,181,0,0.0108108108108108,0.0108108108108108,0.9783783783783784,122.0,0.6740331491712708,0.4143646408839779,0.8568105610151688,,False,99.24324324324324,False,False,NORMAL,16,7.7419453,99.9723573,ศาลาประจำหมู่บ้านบ้านหนักขัน,False,0,3,0
ควนขนุน,ชะมวง,5,constituency,election_day,511,501,3,7,109,7,25,348,11,1,0,501,0,0.0058708414872798,0.0136986301369863,0.980430528375734,348.0,0.6946107784431138,0.4770459081836327,0.8904713769523936,,False,99.43248532289628,False,True,UNUSUAL_VOTING_PATTERN,17,7.753196000000001,99.9551971,ศาลาประจำหมู่บ้านบ้านไสเตียน,True,1,2,-1
ควนขนุน,ชะมวง,6,constituency,election_day,326,315,6,5,43,1,10,248,12,0,1,315,0,0.0184049079754601,0.0153374233128834,0.9662576687116564,248.0,0.7873015873015873,0.6507936507936508,0.7306467189807594,,False,98.77300613496932,False,True,UNUSUAL_VOTING_PATTERN,18,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านค่ายไพออก,True,1,2,2
ควนขนุน,ชะมวง,7,constituency,election_day,394,387,4,3,50,5,5,315,12,0,0,387,0,0.0101522842639593,0.0076142131979695,0.9822335025380712,315.0,0.813953488372093,0.6847545219638242,0.652029885734488,,False,99.34010152284264,False,True,UNUSUAL_VOTING_PATTERN,19,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านค่ายไพตก,True,1,2,2
ควนขนุน,ชะมวง,8,constituency,election_day,360,347,8,5,30,3,23,248,41,2,0,347,0,0.0222222222222222,0.0138888888888888,0.9638888888888888,248.0,0.7146974063400576,0.5965417867435159,0.9547391792922438,,False,98.61111111111111,False,False,NORMAL,20,7.7372374,99.973056,ศาลาประจำหมู่บ้านบ้านไทรโกบ,False,0,3,0
ควนขนุน,ชะมวง,9,constituency,election_day,328,315,6,7,49,1,36,197,28,0,4,315,0,0.0182926829268292,0.0213414634146341,0.9603658536585366,197.0,0.6253968253968254,0.4698412698412698,1.119734814436396,,False,98.65853658536584,False,False,NORMAL,21,7.736974900000001,99.9842367,ศาลาประจำหมู่บ้านบ้านหัวถนน,False,0,3,0
ควนขนุน,ชะมวง,10,constituency,election_day,196,191,1,4,44,0,18,116,10,1,2,191,0,0.0051020408163265,0.0204081632653061,0.9744897959183674,116.0,0.6073298429319371,0.3769633507853403,1.0933224176071896,,False,99.33673469387756,False,False,NORMAL,22,7.737530199999998,99.9891287,ศาลาประจำหมู่บ้านบ้านปาบ,False,0,0,0
ควนขนุน,ชะมวง,11,constituency,election_day,486,476,9,1,161,1,24,266,21,1,2,476,0,0.0185185185185185,0.0020576131687242,0.9794238683127572,266.0,0.5588235294117647,0.2205882352941176,1.02905088284467,,False,99.0329218106996,False,False,NORMAL,23,7.771804299999999,99.9381744,ศาลาประจำหมู่บ้านบ้านสามหนอง,False,0,0,-1
ควนขนุน,ชะมวง,12,constituency,election_day,296,285,5,6,83,1,13,174,14,0,0,285,0,0.0168918918918918,0.0202702702702702,0.9628378378378378,174.0,0.6105263157894737,0.3192982456140351,0.9692241389631794,,False,98.75,False,False,NORMAL,24,7.7427958,99.9646715,ศาลาประจำหมู่บ้านบ้านศาลาม่วง,False,0,3,0
ควนขนุน,ชะมวง,13,constituency,election_day,462,448,9,5,93,1,44,285,23,0,2,448,0,0.0194805194805194,0.0108225108225108,0.9696969696969696,285.0,0.6361607142857143,0.4285714285714285,1.0322526644245564,,False,98.8095238095238,False,False,NORMAL,25,7.7851689,99.9546944,ศาลาประจำหมู่บ้านบ้านไสตอ,False,0,3,-1
ควนขนุน,ชะมวง,14,constituency,election_day,588,572,9,7,166,2,73,291,37,1,2,572,0,0.0153061224489795,0.0119047619047619,0.9727891156462584,291.0,0.5087412587412588,0.2185314685314685,1.193357288044135,,False,98.99659863945578,False,False,NORMAL,26,7.769434400000001,99.9700718,ศาลาประจำหมู่บ้านบ้านหยีใน,False,0,0,-1
ควนขนุน,ชะมวง,15,constituency,election_day,366,349,10,7,84,0,33,218,12,2,0,349,0,0.0273224043715847,0.0191256830601092,0.953551912568306,218.0,0.6246418338108882,0.3839541547277937,1.0052196056470415,,False,98.25136612021858,False,False,NORMAL,27,7.7851689,99.9546944,ศาลาประจำหมู่บ้านบ้านไสตอตก,False,0,3,-1
กงหรา2,ชะรัด,1,constituency,election_day,593,565,14,14,209,1,42,278,31,2,2,565,0,0.0236087689713322,0.0236087689713322,0.9527824620573356,278.0,0.4920353982300885,0.1221238938053097,1.1204808739856915,,False,98.34738617200676,False,False,NORMAL,28,7.4710752,99.9927726,ศาลาประจำหมู่บ้านบ้านต้นประดู่,False,0,1,3
กงหรา2,ชะรัด,2,constituency,election_day,419,393,17,9,118,4,27,215,27,2,0,393,0,0.0405727923627685,0.0214797136038186,0.9379474940334128,215.0,0.5470737913486005,0.2468193384223918,1.132754588194378,,False,97.5417661097852,False,False,NORMAL,29,7.477495999999999,100.0135447,ศาลาประจำหมู่บ้านบ้านวังปริง,False,0,1,-1
กงหรา2,ชะรัด,3,constituency,election_day,655,619,26,10,232,3,70,273,39,2,0,619,0,0.0396946564885496,0.015267175572519,0.9450381679389313,273.0,0.4410339256865913,0.0662358642972536,1.1938814072860284,,False,97.70992366412212,False,False,NORMAL,30,7.471108099999999,100.0050042,ศาลาประจำหมู่บ้านบ้านหัวหรั่ง,False,0,1,3
กงหรา2,ชะรัด,4,constituency,election_day,331,313,4,14,190,2,18,79,21,1,2,313,0,0.0120845921450151,0.0422960725075528,0.945619335347432,190.0,0.6070287539936102,0.3546325878594249,1.078934163025937,,False,98.5498489425982,False,False,NORMAL,31,7.470731900000001,99.9856344,ศาลาประจำหมู่บ้านบ้านท่ายาง,False,0,3,3
กงหรา2,ชะรัด,5,constituency,election_day,399,383,12,4,204,2,33,92,50,1,1,383,0,0.0300751879699248,0.0100250626566416,0.9598997493734336,204.0,0.5326370757180157,0.2924281984334204,1.2136401536880796,,False,98.29573934837092,False,False,NORMAL,32,7.471220799999999,99.979161,อาคารสำนักงานเทศบาลตำบลชะรัด,False,0,1,3
กงหรา2,ชะรัด,6,constituency,election_day,429,411,14,4,201,6,18,137,49,0,0,411,0,0.0326340326340326,0.0093240093240093,0.958041958041958,201.0,0.4890510948905109,0.1557177615571776,1.1682814957048784,,False,98.1818181818182,False,False,NORMAL,33,7.471220799999999,99.979161,อาคารสำนักงานเทศบาลตำบลชะรัด,False,0,1,3
กงหรา2,ชะรัด,7,constituency,election_day,277,264,7,6,73,1,30,142,16,1,1,264,0,0.0252707581227436,0.0216606498194945,0.9530685920577616,142.0,0.5378787878787878,0.2613636363636363,1.1694024274307375,,False,98.30324909747291,False,False,NORMAL,34,7.470731900000001,99.9856344,ศาลาอเนกประสงค์บ้านนามะพร้าว,False,0,1,3
